region,phenotype_z,brain_score
7Networks_LH_Vis_1,-0.0805284649679,60.8546687025
7Networks_LH_Vis_2,0.00153506534163,-70.6534978421
7Networks_LH_Vis_3,0.141819534129,-43.871054232
7Networks_LH_Vis_4,-0.868569859985,-109.189656388
7Networks_LH_Vis_5,-0.00208604630423,-101.256558118
7Networks_LH_Vis_6,0.0258460100805,-96.02818911
7Networks_LH_Vis_7,-0.688917517819,-69.3254985462
7Networks_LH_Vis_8,-0.364689515105,-75.9696415723
7Networks_LH_Vis_9,-0.0916888837619,-121.073086508
7Networks_LH_SomMot_1,-0.496547423062,-22.6441797564
7Networks_LH_SomMot_2,-0.0307284895776,-26.9356040365
7Networks_LH_SomMot_3,-3.73738459121,-27.0800738664
7Networks_LH_SomMot_4,0.0418804609439,3.54396234499
7Networks_LH_SomMot_5,-0.0980095120963,-21.401975428
7Networks_LH_SomMot_6,0.0284347088862,20.4380962843
7Networks_LH_DorsAttn_Post_1,-0.232223061496,-11.7883198576
7Networks_LH_DorsAttn_Post_2,-0.155743079558,0.913955696278
7Networks_LH_DorsAttn_Post_3,-0.153713832352,-45.4734138243
7Networks_LH_DorsAttn_Post_4,0.0643237284077,12.2160911686
7Networks_LH_DorsAttn_Post_5,0.093143384827,-22.7291339963
7Networks_LH_DorsAttn_Post_6,0.170077703461,-12.6481531038
7Networks_LH_DorsAttn_FEF_1,-0.0577700181439,40.4515834971
7Networks_LH_DorsAttn_FEF_2,0.00546087214621,32.5643343747
7Networks_LH_SalVentAttn_ParOper_1,-0.150671860472,6.9713496459
7Networks_LH_SalVentAttn_FrOper_1,0.151214092199,62.7496933576
7Networks_LH_SalVentAttn_FrOper_2,0.147808339343,72.4951535208
7Networks_LH_SalVentAttn_PFCl_1,0.031268930265,26.6985600978
7Networks_LH_SalVentAttn_Med_1,5.65778640719,122.54165008
7Networks_LH_SalVentAttn_Med_2,0.0377159272506,9.26278142005
7Networks_LH_SalVentAttn_Med_3,1.13113539438,58.042563333
7Networks_LH_Limbic_OFC_1,0.197996901061,42.0914894477
7Networks_LH_Limbic_TempPole_1,0.15328905914,112.767086369
7Networks_LH_Limbic_TempPole_2,0.0102272885179,37.1576181651
7Networks_LH_Cont_Par_1,-0.0408688246786,-19.7897428399
7Networks_LH_Cont_PFCl_1,-0.0309207545105,0.826294557984
7Networks_LH_Cont_pCun_1,-0.144715949433,-66.9311030269
7Networks_LH_Cont_Cing_1,0.201522531921,39.2868390153
7Networks_LH_Default_Temp_1,-0.113028999618,49.4472061882
7Networks_LH_Default_Temp_2,-0.135512064789,2.8402877116
7Networks_LH_Default_Temp_3,-0.34421096691,-16.0667913012
7Networks_LH_Default_Temp_4,-0.583135437985,-9.66512652814
7Networks_LH_Default_PFC_1,0.167900684857,33.9479804586
7Networks_LH_Default_PFC_2,-0.158186669822,18.9237508977
7Networks_LH_Default_PFC_3,0.0942292591454,78.8860819349
7Networks_LH_Default_PFC_4,-0.194831121579,20.7974427685
7Networks_LH_Default_PFC_5,0.351446811606,34.5124824161
7Networks_LH_Default_PFC_6,-0.037934492793,1.15521342026
7Networks_LH_Default_PFC_7,0.066457019806,15.4418666546
7Networks_LH_Default_PCC_1,-0.0937810358486,-14.3832729909
7Networks_LH_Default_PCC_2,0.113878358969,-12.9220106553
