gene,weight,weight_zscore,bootstrap_std,bootstrap_ratio,bootstrap_ratio_zscore,abs_bootstrap_ratio,signed_contribution_rank,abs_bootstrap_ratio_rank
A1BG,0.00410947364088,0.398519327475,0.00398065862234,1.03236022748,0.216706169898,1.03236022748,6133,10846
A2M,0.00537265664222,0.558176341279,0.00198709899338,2.70376899194,0.833591109943,2.70376899194,3035,4754
SERPINA3,0.0090194193016,1.01910024196,0.00418051185606,2.15749162116,0.631970602568,2.15749162116,3843,6352
AAMP,0.00573974123526,0.604573126128,0.00355178172057,1.61601744894,0.43212286372,1.61601744894,4870,8370
AANAT,0.00567861988223,0.596847837951,0.00427914292155,1.32704608992,0.32546907365,1.32704608992,5458,9538
AARS,-0.00744488668176,-1.06186658935,0.00455544641596,-1.63428257123,-0.76750057712,1.63428257123,12282,8294
ABAT,0.00790942976058,0.878805751542,0.00428388509613,1.84632164101,0.517123726907,1.84632164101,4430,7499
ABCA1,0.00979831440193,1.11754683731,0.00443522013962,2.20920587783,0.651057343529,2.20920587783,3747,6169
ABCA2,0.000252894310287,-0.0889238527817,0.00361473474554,0.069962065847,-0.138496545838,0.069962065847,8486,15408
ABCA3,0.00317049846982,0.279839791977,0.00467476542566,0.678215521236,0.0859981465075,0.678215521236,6971,12440
ABCB7,-0.0053812307179,-0.801035697575,0.00250951224281,-2.14433331947,-0.955750532453,2.14433331947,13218,6397
ABCF1,-0.00259879832026,-0.449356766458,0.00517817193246,-0.501875633749,-0.349550880679,0.501875633749,9883,13277
ABL1,0.00417881185267,0.407283165988,0.00219954454828,1.89985324732,0.536881216787,1.89985324732,4323,7297
ABL2,-0.00638592377555,-0.928021489186,0.00445009310391,-1.4350090271,-0.693952531343,1.4350090271,11894,9096
ABR,0.00584027842593,0.61728028544,0.00621689704125,0.939420162049,0.182403773075,0.939420162049,6351,11266
ACAA1,0.0085759739151,0.96305201607,0.00402894974615,2.12858795851,0.621302814664,2.12858795851,3896,6448
ACACA,0.0058855633021,0.623003959755,0.00335213367828,1.75576628708,0.483701481393,1.75576628708,4596,7833
ACACB,0.00177250846049,0.103144166735,0.00495565850736,0.35767364879,-0.0323077149734,0.35767364879,7764,13999
ACADL,0.0125718292666,1.46809865804,0.00373537324322,3.36561528074,1.07786588992,3.36561528074,2204,3236
ACADM,-0.00826065566096,-1.16497377099,0.00410951232014,-2.01013040416,-0.906218808598,2.01013040416,12987,6865
ACADSB,0.00419223651695,0.40897994453,0.00182943425272,2.29154806231,0.681448265615,2.29154806231,3612,5902
ACADVL,0.0103668057555,1.18939995105,0.00249363931844,4.15729960577,1.37006140054,4.15729960577,1474,2041
ACAT1,0.000759508146711,-0.0248916007729,0.00359675551245,0.21116479674,-0.0863813242154,0.21116479674,8127,14716
ACAT2,0.00855491434461,0.960390241702,0.00316171800598,2.70578031577,0.834333451021,2.70578031577,3030,4748
ASIC2,0.0136152209168,1.59997566629,0.00338823800694,4.01837795602,1.31878808224,4.01837795602,1582,2215
ASIC1,0.00918191538781,1.03963854864,0.00616994816096,1.48816734732,0.384935841642,1.48816734732,5142,8890
ACHE,0.00415936612233,0.404825369111,0.00364200549377,1.14205377489,0.257191955814,1.14205377489,5871,10356
ACLY,-0.00348376161956,-0.56120959977,0.00346336084924,-1.00589045474,-0.535573090948,1.00589045474,10969,10963
ACO1,0.00346248397092,0.316744605555,0.00354700352638,0.976171561478,0.195968010211,0.976171561478,6258,11103
ACR,-0.00719691321546,-1.03052457232,0.00617131103241,-1.1661887041,-0.594736102444,1.1661887041,11307,10246
ACO2,0.0158326301326,1.88023983498,0.00215600408973,7.34350653973,2.54602931169,7.34350653973,158,182
ACOX1,0.0131016747027,1.53506721288,0.00384554676795,3.40697318049,1.09313029803,3.40697318049,2167,3169
ACP1,0.00669121788008,0.724832755694,0.00166137776895,4.02751138552,1.32215905602,4.02751138552,1578,2207
ACP2,-0.00213987721555,-0.391352523944,0.00383351210085,-0.55820280705,-0.370340160755,0.55820280705,10011,12999
ACP5,0.00312431425205,0.274002447518,0.00426772913853,0.732078852859,0.105878069842,0.732078852859,6837,12175
ACPP,0.00723657199649,0.793761493334,0.00258384366824,2.80070040051,0.869366635019,2.80070040051,2900,4514
ACTA1,0.0111097856024,1.28330712329,0.00259370530178,4.28336465008,1.41658959217,4.28336465008,1378,1872
ACTA2,0.0133084559793,1.56120284097,0.00466083329908,2.85538124307,0.889548285974,2.85538124307,2819,4365
ACTB,0.00288387130687,0.243612232817,0.00180813332034,1.59494395376,0.424345040553,1.59494395376,4908,8452
ACTC1,0.0101172386134,1.15785650517,0.00373599567535,2.70804344882,0.835168730051,2.70804344882,3026,4740
ACTG1,0.0107595511183,1.23904006792,0.00178384931692,6.031647974,2.06184745871,6.031647974,443,551
ACTG2,0.0105982308332,1.21865037383,0.003090793066,3.428968102,1.101248202,3.428968102,2147,3139
ACTN4,-0.0114988159931,-1.57425335146,0.00635449088415,-1.8095573985,-0.832191156476,1.8095573985,12611,7638
ACTL6A,0.00583087216172,0.616091403027,0.00676902386977,0.861405170656,0.153609935019,0.861405170656,6512,11600
ACTN1,-0.00260061597973,-0.449586505208,0.00497296521988,-0.522950767751,-0.357329308705,0.522950767751,9925,13188
ACTN2,-0.00287110180841,-0.483773918779,0.00611456902588,-0.469550968557,-0.337620466305,0.469550968557,9804,13431
ACTN3,0.00205443447424,0.138777535314,0.00214720782345,0.956793493301,0.188815936655,0.956793493301,6300,11182
ACVR1,-0.00447839249037,-0.686923605185,0.00280030862536,-1.59924961478,-0.754570584351,1.59924961478,12210,8437
ACVR1B,0.00829458457442,0.92748647901,0.00523035523002,1.58585491991,0.420990452365,1.58585491991,4924,8486
ACVR2A,0.000299760159362,-0.0830003551533,0.00205877515949,0.145601212439,-0.110579586562,0.145601212439,8288,15043
ACVR2B,0.00201735338598,0.134090759278,0.00390677801958,0.516372667162,0.0262650510162,0.516372667162,7380,13215
ACVRL1,0.0046817464327,0.470850387128,0.0047724952288,0.980985042048,0.197744573632,0.980985042048,6248,11083
ACYP1,0.00314232101876,0.276278370008,0.00280451184099,1.1204520419,0.249219170194,1.1204520419,5928,10462
ACYP2,-0.00370132938985,-0.588708561098,0.00194629760226,-1.9017283819,-0.866209699864,1.9017283819,12778,7286
ADA,0.00449967311216,0.447837662432,0.00272022433517,1.65415515698,0.446198760794,1.65415515698,4789,8215
ADAM8,0.0123230522866,1.4366550828,0.003002968693,4.10362329627,1.35025050348,4.10362329627,1517,2103
ADAM10,0.00371775338745,0.349008776871,0.00262133479826,1.41826728502,0.359137068379,1.41826728502,5286,9165
ADAR,0.00517091131031,0.532677219451,0.00382552436945,1.35168693516,0.334563537353,1.35168693516,5411,9438
ADARB1,-0.000426840032187,-0.174837259773,0.0039566991243,-0.107877808946,-0.204133835071,0.107877808946,8903,15235
ADARB2,0.0112406658546,1.29984942177,0.00476231486641,2.3603365527,0.706836778988,2.3603365527,3514,5707
ADCY1,-0.0111082806356,-1.52489256297,0.00195791918049,-5.67351336376,-2.25830324507,5.67351336376,15593,720
ADCY2,0.0095101305891,1.08112252908,0.00204888675782,4.64160869449,1.54881060271,4.64160869449,1116,1496
ADCY3,-0.00373604253295,-0.593096046333,0.005484942009,-0.68114531144,-0.415715882758,0.68114531144,10284,12425
ADCY5,0.008430836401,0.944707704861,0.00196533213761,4.28977689809,1.41895623002,4.28977689809,1375,1868
ADCY6,0.00675854842423,0.733342839826,0.00768874244324,0.87901870483,0.160110752894,0.87901870483,6473,11524
ADCY7,0.00669932889466,0.725857928108,0.00244287688392,2.74239317534,0.847846555749,2.74239317534,2978,4658
ADCY8,0.0043829287371,0.433082034562,0.0031448038089,1.39370498239,0.350071593251,1.39370498239,5330,9268
ADCY9,-0.0106229277505,-1.46354753838,0.00332332542606,-3.19647533377,-1.34407598414,3.19647533377,14566,3589
ADCYAP1,0.00467428572488,0.469907408692,0.00255059194389,1.83262780864,0.512069595844,1.83262780864,4455,7553
ADCYAP1R1,0.0174728367206,2.08754984911,0.00500699262996,3.48968692624,1.12365835626,3.48968692624,2076,3028
ADD1,0.00632789903053,0.678911933045,0.00772225931014,0.819436226677,0.138120002191,0.819436226677,6619,11792
ADD2,-0.00600871556981,-0.880345154366,0.00306052748246,-1.96329410673,-0.888932428904,1.96329410673,12883,7088
ADD3,0.0129969794861,1.52183450976,0.00263950974944,4.92401268413,1.65304050262,4.92401268413,947,1246
PLIN2,-0.000504042872526,-0.184595129324,0.00328753883901,-0.153319214528,-0.220905386922,0.153319214528,9011,15005
ADH1C,0.000234751075596,-0.0912170238175,0.0032280080281,0.0727232006712,-0.137477463895,0.0727232006712,8480,15396
ADH5,0.0152130824176,1.80193357375,0.00304235531256,5.00042922494,1.6812443832,5.00042922494,903,1186
ADK,-0.00166925840994,-0.331869778321,0.00573778703719,-0.290923730546,-0.271692576399,0.290923730546,9343,14351
ADM,-0.0106418493544,-1.46593908954,0.00200829130262,-5.29895704896,-2.12006168817,5.29895704896,15525,978
ADORA1,0.00159167222406,0.0802878003456,0.00369108557289,0.431220624022,-0.00516293604735,0.431220624022,7590,13627
ADORA2B,0.0189618844762,2.27575450182,0.00341970183095,5.54489409124,1.88219592991,5.54489409124,632,806
PARP1,0.00937946406321,1.06460724404,0.00147059634809,6.37800037746,2.18967949249,6.37800037746,360,440
PARP4,0.00218609809025,0.155418845193,0.0023003212905,0.950344675453,0.186435801588,0.950344675453,6321,11217
ADRA1D,0.00715529671039,0.783488896679,0.00503664809635,1.42064654379,0.360015207191,1.42064654379,5282,9159
ADRA1B,0.0110804772285,1.27960276101,0.00352175818111,3.14629132911,0.996917623028,3.14629132911,2476,3708
ADRA1A,0.00730242033108,0.802084237112,0.00207961737984,3.51142493897,1.13168144012,3.51142493897,2050,2986
ADRA2A,-0.00928138936988,-1.2939869826,0.00283163481102,-3.27774942367,-1.37407269299,3.27774942367,14649,3395
ADRA2C,0.0117858963414,1.36876253353,0.00196987141854,5.98307901238,2.04392158587,5.98307901238,457,569
ADRB1,-0.0138998328905,-1.87772417678,0.00708539452236,-1.96175849442,-0.88836566383,1.96175849442,12878,7096
ADRB2,0.0119790525233,1.39317605015,0.0031185241999,3.84125687517,1.25341608608,3.84125687517,1718,2445
GRK2,-0.00955632266585,-1.32873652323,0.00306128525343,-3.1216701074,-1.31646680883,3.1216701074,14484,3769
GRK3,0.00996589306756,1.13872754454,0.00351283295143,2.83699601016,0.882762648885,2.83699601016,2844,4414
ADSL,0.00628358120878,0.673310487276,0.00237375173266,2.64710968815,0.812679246872,2.64710968815,3103,4891
ADSS,0.00254015468201,0.200168986777,0.00362582876633,0.700572157625,0.0942495525019,0.700572157625,6914,12331
AP2A1,-0.0100202553956,-1.38737419818,0.00588161921475,-1.7036559202,-0.793104950587,1.7036559202,12411,8030
AP2A2,-0.00173514837512,-0.340197783899,0.00551545547286,-0.314597476793,-0.280430102398,0.314597476793,9404,14227
AP1B1,0.000883718237434,-0.00919236151138,0.00311016754664,0.284138466556,-0.0594481413302,0.284138466556,7972,14386
AP2B1,0.0128880392282,1.50806526473,0.00196097444915,6.57226270018,2.2613779925,6.57226270018,305,371
AP1G1,-0.00206067069952,-0.381341404565,0.00730632252846,-0.282039383218,-0.268413534081,0.282039383218,9328,14393
AEBP1,0.0159955990413,1.90083790295,0.0045660873098,3.50313035123,1.12862006677,3.50313035123,2063,3006
AES,0.00342237886165,0.311675615569,0.00418418854335,0.817931320778,0.137564570267,0.817931320778,6622,11800
AFG3L1P,-0.00632516398388,-0.920341899698,0.00308339878026,-2.05136099306,-0.921436228721,2.05136099306,13057,6730
AGA,0.012143506084,1.41396176717,0.00466933095501,2.60069508907,0.795548507952,2.60069508907,3168,5015
ACAN,-0.00661802027097,-0.957356774203,0.00239922049327,-2.75840436072,-1.18239238424,2.75840436072,14091,4608
AGER,0.00513917455656,0.528665927876,0.00272133555331,1.88847514608,0.532681777697,1.88847514608,4347,7337
AGL,0.000390168085125,-0.0715734602091,0.0020796162999,0.187615419798,-0.0950729478877,0.187615419798,8188,14845
JAG1,0.00162715962805,0.0847731464461,0.00663352949966,0.24529319243,-0.0737851874853,0.24529319243,8053,14559
AGT,0.0126482993656,1.47776391448,0.003699859216,3.4185893644,1.09741760888,3.4185893644,2157,3153
APLNR,0.015156819467,1.79482235181,0.00669584522375,2.26361556465,0.671138916096,2.26361556465,3661,5992
AGXT,-0.00204777233704,-0.379711146689,0.00337485816435,-0.606772858983,-0.388266436009,0.606772858983,10124,12769
NR0B1,0.0156225367755,1.85368558434,0.00395084362568,3.95422807269,1.29511158983,3.95422807269,1630,2298
AHCY,0.00504749718587,0.517078584457,0.00185596902151,2.7196020663,0.839434794226,2.7196020663,3009,4708
AHR,0.00217370821423,0.153852856255,0.00283320447654,0.767226027006,0.118850218175,0.767226027006,6745,12034
AHSG,0.000259220556995,-0.0881242618618,0.00538081501957,0.0481749616094,-0.146537748431,0.0481749616094,8526,15493
AIF1,0.00523121349016,0.54029897018,0.00330776257357,1.58149606382,0.419381682125,1.58149606382,4934,8507
AK1,0.00492520706384,0.501622015076,0.00420376984606,1.17161672599,0.268103074448,1.17161672599,5795,10219
AK2,-0.00431242675701,-0.665946760695,0.00258809931451,-1.66625242425,-0.779300037124,1.66625242425,12343,8167
AK4,0.0154566056436,1.83271311323,0.00168816992955,9.15583518761,3.21492507978,9.15583518761,24,28
AKT1,-0.00619435572074,-0.903808700113,0.00345222432904,-1.79430857625,-0.82656310845,1.79430857625,12589,7680
AKT2,0.00506886163717,0.519778893511,0.00441824266811,1.14725740932,0.259112517548,1.14725740932,5853,10328
ALAD,0.00140849279646,0.0571352718759,0.00217443419211,0.647751401983,0.0747544239792,0.647751401983,7045,12589
ALAS1,-0.0025019143979,-0.437111353312,0.00343862409334,-0.727591714006,-0.432858359734,0.727591714006,10397,12195
ALAS2,0.00159107475864,0.0802122851237,0.00369792754291,0.430261204466,-0.00551703941675,0.430261204466,7594,13633
ALB,0.00289581878341,0.245122305724,0.00363748574636,0.796104503313,0.129508710283,0.796104503313,6677,11907
ALCAM,0.0083569988195,0.935375179204,0.00480805430131,1.73812488291,0.477190377239,1.73812488291,4635,7906
ALDH1A1,-0.00709405865435,-1.01752451448,0.00636032395751,-1.11536121458,-0.575976650244,1.11536121458,11201,10484
ALDH2,0.0172315100329,2.05704793588,0.0021457269206,8.03061650926,2.79962843201,8.03061650926,83,95
ALDH1B1,-0.00727421630582,-1.04029511274,0.00307822717152,-2.36311873702,-1.03650003674,2.36311873702,13559,5696
ALDH1A3,-0.0101725945102,-1.40662873858,0.00368036368305,-2.76401882702,-1.18446457614,2.76401882702,14096,4595
ALDH3B1,-0.00235443713758,-0.418471315438,0.00633562444699,-0.37161879737,-0.301475578929,0.37161879737,9544,13932
ALDH9A1,0.0158119542801,1.87762655974,0.00181352323206,8.7189146522,3.05366608436,8.7189146522,37,45
ALDH3A2,-0.00647313097268,-0.93904383564,0.00394937087374,-1.63902838696,-0.769252166746,1.63902838696,12292,8276
ABCD2,-0.0077744290865,-1.10351831851,0.00354480739433,-2.19318801324,-0.973781863554,2.19318801324,13302,6218
ALDOA,0.00243582630461,0.186982649427,0.00389747222253,0.624975924273,0.0663484316808,0.624975924273,7107,12696
ALDOC,0.00163466065711,0.0857212211894,0.00309660312835,0.527888330972,0.0305152618146,0.527888330972,7352,13156
AKR1B1,0.00191504990617,0.121160354046,0.0031526450876,0.607442275598,0.059877098012,0.607442275598,7145,12766
ALK,0.0188035973835,2.25574818087,0.00387175974682,4.85660232378,1.62816063063,4.85660232378,994,1318
ALOX5,0.00738767184874,0.812859400107,0.00276154066461,2.67519937092,0.823046610403,2.67519937092,3076,4828
ALOX5AP,0.00215962467485,0.152072800761,0.00483735790344,0.446447155236,0.000456884785929,0.446447155236,7558,13562
ALOX12B,-0.0104287752419,-1.43900809341,0.00819883707189,-1.27198225193,-0.633782473266,1.27198225193,11518,9801
ALOX12P2,-0.000382855873043,-0.169277986496,0.00304763034379,-0.125624117709,-0.210683657502,0.125624117709,8952,15129
ALOX15B,0.000809183018848,-0.0186130633496,0.00220092338686,0.367656149996,-0.0286233651072,0.367656149996,7739,13952
ALPL,0.00428325171339,0.420483594008,0.0019970943661,2.14474177389,0.627264878311,2.14474177389,3868,6394
ALPP,0.00362755078275,0.337607832996,0.00493068814936,0.735708824584,0.107217822833,0.735708824584,6830,12164
ALPPL2,0.0069320141963,0.755267633888,0.00269850759866,2.56883256499,0.783788661003,2.56883256499,3214,5101
ALX3,-0.00682673979474,-0.983737382438,0.00209070594146,-3.26527975999,-1.36947037912,3.26527975999,14634,3428
AMD1,-0.00633007407486,-0.920962498981,0.00253318753312,-2.49885726663,-1.08659852639,2.49885726663,13770,5288
AMFR,0.00909026803842,1.02805499969,0.00280683484031,3.23861878436,1.03099391717,3.23861878436,2356,3493
AMH,-0.00736000854605,-1.05113861908,0.00226605376035,-3.24794083654,-1.3630709148,3.24794083654,14617,3465
AMPD2,0.00754389877468,0.832605331176,0.00297056026279,2.53955419426,0.77298257553,2.53955419426,3253,5172
AMPD3,-0.00296053081958,-0.495077086139,0.00207196899174,-1.42884899889,-0.691678982997,1.42884899889,11880,9121
AMPH,0.00103857434251,0.0103803079109,0.00214947593478,0.483175608389,0.0140126528916,0.483175608389,7459,13375
BIN1,0.0137894996452,1.62200321204,0.00195488534158,7.05386620479,2.43912861543,7.05386620479,199,237
AMT,-0.00770829688942,-1.09515969661,0.00442286096896,-1.74283047637,-0.807563528432,1.74283047637,12482,7888
AMY2A,-0.00440328861378,-0.677431029169,0.00665854992978,-0.661298429871,-0.408390779165,0.661298429871,10242,12523
ANG,0.0114328087772,1.32413486988,0.00355886950507,3.212483279,1.02134780307,3.212483279,2389,3546
ANGPT1,0.0157987522035,1.87595791464,0.00812497463337,1.94446788038,0.553347622748,1.94446788038,4257,7160
ANGPT2,-0.00612732343913,-0.895336314165,0.00347792749102,-1.76177434836,-0.814555348498,1.76177434836,12525,7806
ANK1,-0.00867180527127,-1.21694004899,0.00234289846578,-3.70131501553,-1.53040263471,3.70131501553,14947,2650
ANK2,0.00890670171306,1.0048535702,0.00277734016973,3.206917831,1.01929370288,3.206917831,2398,3561
ANK3,-0.0119916616326,-1.63654540494,0.00220217629766,-5.44536858622,-2.17409938039,5.44536858622,15557,881
SLC25A4,-0.00532354093542,-0.793744134605,0.00403182042325,-1.32038145963,-0.65164569319,1.32038145963,11649,9563
SLC25A5,-0.00681646581534,-0.982438827226,0.0028142271526,-2.42214485389,-1.05828544515,2.42214485389,13652,5517
SLC25A6,-0.00366087028462,-0.583594828635,0.00226772084461,-1.61433903706,-0.760139800906,1.61433903706,12241,8376
ANXA1,-0.00475762112518,-0.722216044962,0.00487835737823,-0.975250633832,-0.524264520308,0.975250633832,10899,11105
ANXA2,0.0142916410464,1.68547018122,0.00219649218619,6.50657495448,2.23713390456,6.50657495448,326,393
ANXA2P1,0.0102804185992,1.17848125171,0.003178461231,3.23440113062,1.02943726202,3.23440113062,2363,3501
ANXA3,0.00176945947744,0.102758797768,0.00534282377155,0.331184323702,-0.0420844171581,0.331184323702,7838,14133
ANXA4,0.00999409031504,1.14229146863,0.00305391393974,3.27255139216,1.04351779235,3.27255139216,2306,3409
ANXA5,0.00260439709877,0.208288754388,0.00219740866456,1.18521290135,0.273121162185,1.18521290135,5767,10170
ANXA6,-0.0107246207395,-1.47640078207,0.00341513757225,-3.1403188049,-1.32334968565,3.1403188049,14509,3720
ANXA7,0.00133438255218,0.047768283655,0.00289643877834,0.460697654704,0.00571647100829,0.460697654704,7515,13483
ANXA11,0.000275774930911,-0.0860319111082,0.00268400591479,0.102747512363,-0.126396065908,0.102747512363,8399,15260
AOAH,-0.00196920689242,-0.369781054009,0.00399115367875,-0.493392901132,-0.346420066654,0.493392901132,9861,13320
AOC2,-0.00842824195706,-1.18615544266,0.00287698410719,-2.92954067282,-1.24555551696,2.92954067282,14283,4187
APAF1,0.000914333555093,-0.00532281118574,0.00316973933415,0.288457017661,-0.0578542468884,0.288457017661,7958,14365
NUDT2,-0.00122292933231,-0.275457075147,0.00298764097005,-0.409329415603,-0.315393845341,0.409329415603,9654,13734
APBA1,0.00205185110459,0.138451016446,0.003921676841,0.523207594042,0.0287876915265,0.523207594042,7367,13187
APBA2,-0.00658637981128,-0.953357653487,0.0050756828,-1.29763424367,-0.643250131761,1.29763424367,11598,9658
APBB1,0.00353591256995,0.326025438844,0.00288036007117,1.22759394054,0.288763191458,1.22759394054,5675,10003
APBB2,-0.000475997949208,-0.181050457883,0.00207232078418,-0.229693179184,-0.249093553462,0.229693179184,9205,14629
APC,0.0130033397456,1.52263839965,0.00511479462234,2.54229948722,0.773995810542,2.54229948722,3250,5165
APCS,0.00641570963409,0.690010545622,0.00602264371587,1.06526468056,0.228850572867,1.06526468056,6063,10697
AIRE,0.0113243028028,1.31042051509,0.00524895529765,2.15743936852,0.631951317121,2.15743936852,3844,6353
APEH,0.00255264221178,0.201747318429,0.00196850784138,1.2967396716,0.314283555516,1.2967396716,5511,9661
APEX1,-0.00127532697275,-0.2820797504,0.00370352266567,-0.344355114812,-0.291413076244,0.344355114812,9476,14077
BIRC2,0.0015818955963,0.0790521067121,0.00272256121595,0.581032149813,0.0501296267721,0.581032149813,7212,12896
BIRC3,0.0104026888831,1.1939353137,0.00387105542681,2.68730042226,0.827512876518,2.68730042226,3061,4801
XIAP,0.00542733090819,0.565086765206,0.00293905003093,1.84662760112,0.517236650921,1.84662760112,4429,7497
APLP1,-0.00162047016948,-0.325703304602,0.00337787413713,-0.47973077258,-0.34137763686,0.47973077258,9821,13390
APLP2,0.00455061022243,0.454275737445,0.00443544340565,1.02596511921,0.214345858007,1.02596511921,6150,10878
APOA1,0.00131794281644,0.0456904223212,0.00302988964335,0.434980468456,-0.00377524952948,0.434980468456,7583,13612
APOC1,0.000546235822694,-0.0518476493766,0.00292405621721,0.186807565285,-0.0953711115047,0.186807565285,8193,14854
APOD,0.00176135047382,0.101733879525,0.00309035907187,0.569950103811,0.0460394559959,0.569950103811,7233,12939
APOE,0.0109386162816,1.26167258374,0.0027260864087,4.01257137218,1.31664498344,4.01257137218,1589,2225
APP,-0.000288051095479,-0.157295361917,0.00648678341099,-0.0444058445039,-0.180707549525,0.0444058445039,8773,15511
APRT,-0.001293518547,-0.2843790312,0.00424302040038,-0.304857960826,-0.276835433726,0.304857960826,9374,14279
KLK3,0.00509258914418,0.522777875376,0.00481864027255,1.05685190347,0.225745578087,1.05685190347,6086,10747
FAS,0.00462109516206,0.463184513899,0.00293308334179,1.57550762238,0.417171463166,1.57550762238,4946,8527
SHROOM2,-0.0128626203689,-1.74662816479,0.00449393170638,-2.86221981314,-1.22070867795,2.86221981314,14203,4352
AQP1,0.017270753356,2.06200800245,0.00546331828788,3.16122042429,1.00242766592,3.16122042429,2453,3670
