gene,bootstrap_ratio
TIRAP,-3.00288915314
TMEM266,-3.00290780974
PANK1,-3.00344622767
PCDH11Y,-3.00740868095
SECISBP2,-3.00753603268
C4orf33,-3.00865808793
GLIS1,-3.00935115177
CMPK1,-3.01043051162
CPLX1,-3.01071311575
KLHDC1,-3.01280452368
LYPD5,-3.01367746529
MPHOSPH9,-3.01380160441
SULT2B1,-3.01619893301
AKAP6,-3.01854890527
MTG1,-3.01863404938
SELENOO,-3.01982481084
FGFR1OP2,-3.02019533659
PDE4B,-3.02097496747
PGBD1,-3.02323037713
CDK13,-3.02422179149
CNOT10,-3.02423784566
CCNB1,-3.02580645759
ZNF615,-3.02728716223
ACER2,-3.0274392357
LRRC49,-3.02850951147
PCDHB8,-3.0292453015
MRPL15,-3.03049014013
TTC39A,-3.03054703935
ARID2,-3.03061317582
MICAL2,-3.03206802554
CEP162,-3.03461798059
HAUS3,-3.0355162174
LUZP1,-3.03559623922
GFRA2,-3.03587858106
ZNF397,-3.03608530703
ACSF3,-3.03622403216
NFATC3,-3.03632690272
LOC100996385,-3.03708541393
NSUN5,-3.03722127705
DPY19L1P1,-3.0376024663
KIF2C,-3.03828316886
PHKA1,-3.03858214306
CKMT2-AS1,-3.03887664077
ABCB9,-3.03925146045
FBXL6,-3.03929199511
LINC01361,-3.04042158298
BOLA3,-3.04120557324
ZNF668,-3.0413573883
IFRD2,-3.04172134298
RPA3,-3.04313951304
ISCA1,-3.04416623987
RCAN2,-3.04646779073
EVA1C,-3.04763074345
HR,-3.04871060077
RFPL1S,-3.05115408135
PNMA2,-3.05237470391
MAPK10,-3.05262650616
HES6,-3.05380446831
ENDOG,-3.05459622669
CDS1,-3.05533097998
ZNF772,-3.05838932285
ANKRD29,-3.06116766152
ARMCX4,-3.06238662137
NOXO1,-3.06275545347
NALCN,-3.06325029813
SHPRH,-3.06355321893
SLC35A4,-3.06356862457
SCAI,-3.06372018785
ALS2,-3.06510959751
NAPA,-3.06537296674
PHKA2,-3.0654585639
AZGP1,-3.06714297775
THYN1,-3.0676824403
RAD54B,-3.06849004795
DDX55,-3.07008952734
TACC1,-3.07061356438
NCOR1P1,-3.07090083784
PARG,-3.07134880394
GPHN,-3.07313178936
AGO1,-3.07347825513
ANKRD13D,-3.07423094597
ZCCHC3,-3.07915895599
MIRLET7BHG,-3.08053650555
TOE1,-3.0806466358
POMK,-3.08065703257
WASHC1,-3.08208276325
ZNF483,-3.08293238861
INTS8,-3.08544709021
RRP9,-3.08571566075
CEBPE,-3.08760390752
METAP2,-3.08921315983
CNOT1,-3.09816511406
KREMEN2,-3.09819559541
CCDC69,-3.09906221948
STARD9,-3.10009582905
KLRA1P,-3.10027637952
RASAL2,-3.10141371365
GPCPD1,-3.10156644356
HECW1,-3.10497486103
LAMB3,-3.10602721124
RGPD4,-3.11002153108
UTP23,-3.11015620806
SUMF2,-3.11067726391
ZNF717,-3.11296701881
LOC151174,-3.11308444021
CLUL1,-3.11335052371
SLC45A1,-3.11378252227
CSPG4P1Y,-3.11426154438
MAEL,-3.11599881789
ZC3H6,-3.11913229367
EML5,-3.12102053343
GRK2,-3.1216701074
SP9,-3.12194716928
SMCHD1,-3.12211440657
KDM2B,-3.12292189083
CLVS2,-3.1235090958
DUSP7,-3.12522590882
ABHD6,-3.12744090366
GPAT2,-3.12821488432
LOC100506476,-3.12847663096
DCAF1,-3.12997050602
UBAP1L,-3.13004463816
ALKBH3,-3.13098686029
DIRAS2,-3.13177711149
TIMM8A,-3.13185439114
SETD7,-3.13193870023
ZNF630,-3.13366722066
INPP5J,-3.13370948523
LOC100129138,-3.13517618179
ZMAT4,-3.13837482226
SLC46A3,-3.13838501588
SEPT12,-3.13848587409
GNB5,-3.13866649718
GGTLC1,-3.13875039818
DDX31,-3.13916350889
MYC,-3.13931255829
ANXA6,-3.1403188049
CYP26B1,-3.14250720311
FAM104A,-3.14300158246
FES,-3.14380259961
ZBTB11,-3.14533130651
FAM133CP,-3.14722697342
LOC100287497,-3.1491127014
KBTBD12,-3.14952034577
INTS4P1,-3.14977514693
GLI4,-3.15035078043
PKM,-3.15059897718
LOC105376360,-3.15184240448
MARF1,-3.1523077243
RHOBTB2,-3.15272600062
SMPX,-3.15497310229
DEFB131A,-3.15692572397
DHRS11,-3.15760606205
RHOBTB1,-3.15955804829
NPC1L1,-3.16041199612
C17orf97,-3.16088555402
TXNRD2,-3.16343102923
