gene,bootstrap_ratio
WTIP,10.6582524014
BCL2A1,10.4009894246
DDAH1,10.3628961399
CHST9,10.3057431842
FLRT1,10.2477295305
IL17RD,9.94403296692
CACNA1H,9.91887097608
PCED1B,9.84872852713
TPM3,9.68808103146
WDR86,9.61400818691
PAX6,9.59725534022
BCAN,9.53917497298
SLC7A11,9.53783092186
PNPLA3,9.43853481474
FIBIN,9.35036281885
UG0898H09,9.34650309198
FADS2,9.34343243419
CNMD,9.30272738324
CACHD1,9.27671335348
CLIC5,9.23607938894
FAM228B,9.20300497358
FAM120AOS,9.19968830686
XYLT1,9.16880052589
AK4,9.15583518761
SLC4A3,9.13483749975
DACT3,9.09467303219
CDC42BPB,9.00641150126
SERF2,8.97620709829
PCDHGC3,8.97142013016
GSTM2,8.91842531217
WLS,8.89403856218
ENKUR,8.88799958062
GTF3C6,8.86804667778
LRRN1,8.84630467349
PDGFRA,8.82573099491
PDGFA,8.80368695624
ALDH9A1,8.7189146522
ANKRD19P,8.68961291763
LINC01485,8.65678330719
TOM1L1,8.64087190619
LRRC36,8.63718539932
KCNN2,8.61962410686
KCTD21,8.6118431471
OAZ2,8.60218605396
SMIM10L2A,8.58119940919
FZD1,8.57193131242
RGN,8.55887941535
GGN,8.55492534307
CYB5R3,8.5256596978
PLAC9,8.49022831468
RTL8C,8.4710484061
CRYZ,8.46327131488
AP3S1,8.45952771084
TRIB1,8.42818317738
TIMP4,8.39502922536
ME1,8.3431954787
SAMD15,8.33541157377
AQP4,8.33259256934
FAM171B,8.32892987684
FAM107A,8.31827939939
SMIM29,8.30424515165
FABP5,8.29979755479
CPE,8.25541000127
DAP,8.25323491869
GLDC,8.24638490634
MIR99AHG,8.24201273184
ARPC5,8.23438285053
GABBR1,8.22362248093
KIF2A,8.21573884494
MDFIC,8.20204267628
TMEM176A,8.18947405485
NKAIN3,8.17581344023
CD63,8.17532054756
TMEM120A,8.17137297989
RAB31,8.15676675383
LINC01094,8.14519065781
MCFD2,8.11148473622
GPR68,8.06779150212
MAPKAPK3,8.05101656226
HBG1,8.04865065379
CDO1,8.04808002575
ARL8A,8.04108786303
ALDH2,8.03061650926
INPP5K,8.02252364601
ZIC1,8.01682539646
ACOT2,8.00169864889
MZT2B,7.99713803876
PTRH1,7.97938829395
GPR107,7.95632067889
TUNAR,7.95232441211
HACD1,7.95061459461
ARL3,7.90242896067
SAMD4A,7.90152225853
DENND2A,7.88892172714
SLC39A12,7.87849721946
IFT22,7.85652017071
TSPAN4,7.85308969196
HADHB,7.84486913689
BCL6,7.82991373494
ITPKB,7.80071526501
RAB13,7.79244366144
OSBPL8,7.79140717425
NTSR2,7.781734987
HTR7P1,7.77323230606
FAM181A,7.77075739215
ST6GALNAC6,7.75316817702
MRPL20,7.7528858158
TMEM117,7.74950884036
CDC14A,7.73710283296
MLNR,7.73616436712
PACRG,7.71150924324
FTH1,7.71147734463
TSPAN33,7.70447786702
SHISA5,7.69867370769
DZIP3,7.69773313287
LSM7,7.68567151434
DUSP18,7.67948197961
NDUFAF8,7.67282224606
SZRD1,7.6681982676
SPON1,7.65545192039
SH3PXD2B,7.64845857215
BPHL,7.64216540842
DLG2,7.64132030889
ELAC2,7.63333155897
DNAH5,7.62420534862
TMEM159,7.60343782074
HMGCL,7.60279281372
APLN,7.5865473921
UBE2A,7.57936226102
ASAP3,7.57639411149
IDH1-AS1,7.57624007918
MT1M,7.55802309999
HBM,7.55065348221
DHDDS,7.514272572
KLHDC8A,7.50732373537
ALDH6A1,7.48993460254
HEYL,7.47727794626
USP9X,7.47593651377
CMTM4,7.46716093117
GPC5,7.45952146799
ZDHHC23,7.45741240246
MGST1,7.44117056239
ARHGAP23,7.4396429733
SLC44A3,7.43638370434
MTMR9LP,7.43379268089
ZSWIM9,7.43299046897
ERH,7.42252110208
STX12,7.4133187784
IL33,7.39223245369
MBOAT2,7.39115120368
P4HA2,7.38075977915
PRR13,7.37758854696
CHMP4A,7.3749576926
SOX9-AS1,7.35154354247
SLC16A2,7.34943114494
COL21A1,7.34785809787
SCPEP1,7.34556320258
ACO2,7.34350653973
EPHX1,7.34254683489
CACNG4,7.34250970967
MAFG,7.30426502217
PDLIM3,7.29579287734
DOK6,7.29317412637
CROT,7.2910928868
PRR29,7.28211666103
OSR1,7.28041112619
CELF6,7.24252544239
BMP7,7.24135795167
CNIH2,7.23825454519
JPT1,7.22764007757
DIO2,7.20313143881
TSPAN6,7.20124087736
CH25H,7.19533218122
MRVI1,7.19516754578
SEC11C,7.19220603033
GPR143,7.18588108019
ARHGAP1,7.18125767604
RSU1,7.17084943559
PLSCR4,7.16408570146
AKR7A2P1,7.16270183896
WFDC1,7.1606137229
SEPT11,7.15616113387
DIAPH3,7.15404888073
PEX19,7.14876786413
SPRED1,7.14166314686
RSPO4,7.13800929679
KLHDC8B,7.13715550869
PRDX6,7.12911187624
SLC3A2,7.12654978213
SRM,7.12507380906
FTL,7.11240423891
MCUR1,7.10727907952
PYCR3,7.10655673979
PRELP,7.10030906715
ARHGEF28,7.09942087834
RIC8A,7.09586078409
DCN,7.08872489167
CETN2,7.08022287567
BIN1,7.05386620479
C1orf61,7.05009610465
MPHOSPH6,7.04598788067
SULF2,7.04597321163
RTL8A,7.03414247122
LRRC3B,7.02476815102
TTPAL,7.02150226345
ARPC3,7.01759072445
LDHD,7.01504266448
SSTR1,7.00712213967
PRKCD,6.99636962353
GRP,6.99043410272
B3GALNT1,6.99028051144
GPC1,6.96776326601
VEGFB,6.96170789606
ZC3HAV1,6.94823199877
SGCE,6.94367696125
GDPD2,6.94155354676
